ckpt,model,seed,task,use_goal,n_steps,guidance,execute_horizon,ema,n_episodes,success_rate,mean_length
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,100,1.0,8,False,100,0.0400,290.17
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,1,1.0,8,False,100,0.0200,294.11
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,2,1.0,8,False,100,0.0200,294.11
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,4,1.0,8,False,100,0.0200,294.11
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,8,1.0,8,False,100,0.0200,294.11
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,16,1.0,8,False,100,0.0200,294.12
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,50,1.0,8,False,100,0.0200,294.14
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,10,1.0,1,False,100,0.0200,294.15
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,10,1.0,2,False,100,0.0200,294.59
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,10,1.0,4,False,100,0.0200,294.31
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,10,1.0,8,False,100,0.0200,294.12
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,10,1.0,16,False,100,0.0200,294.12
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,100,1.0,16,False,100,0.0200,294.77
