ckpt,model,seed,task,use_goal,goal_slot,n_steps,guidance,execute_horizon,n_average,ema,n_episodes,success_rate,mean_length
outputs/fm_mt_s42/ckpt_20000.pt,fm,42,PickCube-v1,False,True,10,1.0,8,1,False,100,0.0300,291.79
outputs/fm_mt_s42/ckpt_20000.pt,fm,42,PushCube-v1,False,True,10,1.0,8,1,False,100,0.8200,121.90
outputs/fm_mt_s42/ckpt_20000.pt,fm,42,StackCube-v1,False,True,10,1.0,8,1,False,100,0.0400,295.28
outputs/fmgc_mt_s42/ckpt_20000.pt,fm,42,PickCube-v1,False,True,10,1.0,8,1,False,100,0.0600,285.17
outputs/fmgc_mt_s42/ckpt_20000.pt,fm,42,PushCube-v1,False,True,10,1.0,8,1,False,100,0.7900,121.26
outputs/fmgc_mt_s42/ckpt_20000.pt,fm,42,StackCube-v1,False,True,10,1.0,8,1,False,100,0.0200,297.65
outputs/fm_mt_tg_s42/ckpt_20000.pt,fm,42,PickCube-v1,False,False,10,1.0,8,1,False,100,0.1400,271.23
outputs/fm_mt_tg_s42/ckpt_20000.pt,fm,42,PushCube-v1,False,False,10,1.0,8,1,False,100,0.8500,112.73
outputs/fm_mt_tg_s42/ckpt_20000.pt,fm,42,StackCube-v1,False,False,10,1.0,8,1,False,100,0.0200,295.96
outputs/fm_mt_tg60_s42/ckpt_60000.pt,fm,42,PickCube-v1,False,False,10,1.0,8,1,False,100,0.6300,162.61
outputs/fm_mt_tg60_s42/ckpt_60000.pt,fm,42,PushCube-v1,False,False,10,1.0,8,1,False,100,0.9000,96.77
outputs/fm_mt_tg60_s42/ckpt_60000.pt,fm,42,StackCube-v1,False,False,10,1.0,8,1,False,100,0.0700,286.24
outputs/ddpm_mt_tg60_s42/ckpt_60000.pt,ddpm,42,PickCube-v1,False,False,100,1.0,8,1,False,100,0.4400,199.85
outputs/ddpm_mt_tg60_s42/ckpt_60000.pt,ddpm,42,PushCube-v1,False,False,100,1.0,8,1,False,100,0.9200,94.97
outputs/ddpm_mt_tg60_s42/ckpt_60000.pt,ddpm,42,StackCube-v1,False,False,100,1.0,8,1,False,100,0.0300,294.85
outputs/bcx_mt_tg60_s42/ckpt_60000.pt,bc_xattn,42,PickCube-v1,False,False,1,1.0,8,1,False,100,0.9000,94.47
outputs/bcx_mt_tg60_s42/ckpt_60000.pt,bc_xattn,42,PushCube-v1,False,False,1,1.0,8,1,False,100,0.9400,85.63
outputs/bcx_mt_tg60_s42/ckpt_60000.pt,bc_xattn,42,StackCube-v1,False,False,1,1.0,8,1,False,100,0.4800,204.52
outputs/fmnocfg_mt_tg60_s42/ckpt_60000.pt,fm,42,PickCube-v1,False,False,10,1.0,8,1,False,100,0.6000,173.21
outputs/fmnocfg_mt_tg60_s42/ckpt_60000.pt,fm,42,PushCube-v1,False,False,10,1.0,8,1,False,100,0.9600,80.13
outputs/fmnocfg_mt_tg60_s42/ckpt_60000.pt,fm,42,StackCube-v1,False,False,10,1.0,8,1,False,100,0.3600,232.76
