ckpt,model,seed,task,use_goal,goal_slot,n_steps,guidance,execute_horizon,ema,n_episodes,success_rate,mean_length
outputs/fmgoal_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,True,False,10,1.0,8,False,100,0.7500,136.74
outputs/fmgoal_PickCube_s123/ckpt_20000.pt,fm,123,PickCube-v1,True,False,10,1.0,8,False,100,0.7300,145.61
outputs/fmgoal_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,True,False,1,1.0,8,False,100,0.6700,150.30
outputs/fmgoal_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,True,False,2,1.0,8,False,100,0.7400,133.53
outputs/fmgoal_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,True,False,4,1.0,8,False,100,0.7200,138.77
outputs/fmgoal_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,True,False,8,1.0,8,False,100,0.6900,144.59
outputs/fmgoal_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,True,False,16,1.0,8,False,100,0.7500,133.62
outputs/fmgoal_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,True,False,10,1.0,1,False,100,0.2900,237.05
outputs/fmgoal_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,True,False,10,1.0,2,False,100,0.4600,200.79
outputs/fmgoal_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,True,False,10,1.0,4,False,100,0.4900,190.81
outputs/fmgoal_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,True,False,10,1.0,16,False,100,0.7500,129.21
outputs/fmgoal_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,True,False,10,1.5,8,False,100,0.7100,146.75
outputs/fmgoal_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,True,False,10,2.0,8,False,100,0.6600,153.46
outputs/fmgoal_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,True,False,10,1.0,8,False,100,0.7500,136.74
outputs/fmgoal_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,True,False,10,1.0,8,False,100,0.7500,136.74
outputs/bcgoal_PickCube_s42/ckpt_20000.pt,bc,42,PickCube-v1,True,False,1,1.0,8,False,100,0.0300,292.41
outputs/bcgoal_PickCube_s42/ckpt_20000.pt,bc,42,PickCube-v1,True,False,1,1.0,1,False,100,0.0200,294.02
outputs/bcgoal_PickCube_s42/ckpt_20000.pt,bc,42,PickCube-v1,True,False,1,1.0,2,False,100,0.0400,290.68
outputs/bcgoal_PickCube_s42/ckpt_20000.pt,bc,42,PickCube-v1,True,False,1,1.0,4,False,100,0.0400,290.04
outputs/bcgoal_PickCube_s42/ckpt_20000.pt,bc,42,PickCube-v1,True,False,1,1.0,16,False,100,0.0400,289.38
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,False,1,1.0,8,False,100,0.0200,294.37
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,False,2,1.0,8,False,100,0.0200,295.25
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,False,4,1.0,8,False,100,0.0300,293.43
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,False,8,1.0,8,False,100,0.1000,276.47
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,False,16,1.0,8,False,100,0.2500,244.23
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,False,50,1.0,8,False,100,0.3300,232.21
outputs/ddpmgoal_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,True,False,100,1.0,8,False,100,0.3300,231.28
outputs/bcx_PickCube_s42/ckpt_20000.pt,bc_xattn,42,PickCube-v1,True,False,10,1.0,8,False,100,0.5200,187.21
