ckpt,model,seed,task,use_goal,goal_slot,task_goal,val_frac,steps,d_model,cfg_dropout,ot_coupling,global_cond,sources,n_steps,guidance,execute_horizon,max_steps,n_average,ema,n_episodes,success_rate,mean_length
outputs/fm_mt_val10_s42/ckpt_60000.pt,fm,42,PickCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,10,1.0,8,300,1,False,100,0.6500,155.91
outputs/fm_mt_val10_s42/ckpt_60000.pt,fm,42,PushCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,10,1.0,8,300,1,False,100,0.9000,95.20
outputs/fm_mt_val10_s42/ckpt_60000.pt,fm,42,StackCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,10,1.0,8,300,1,False,100,0.1900,267.27
outputs/ddpm_mt_val10_s42/ckpt_60000.pt,ddpm,42,PickCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,100,1.0,8,300,1,False,100,0.0800,282.00
outputs/ddpm_mt_val10_s42/ckpt_60000.pt,ddpm,42,PushCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,100,1.0,8,300,1,False,100,0.9600,87.52
outputs/ddpm_mt_val10_s42/ckpt_60000.pt,ddpm,42,StackCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,100,1.0,8,300,1,False,100,0.0100,298.47
outputs/bcx_mt_val10_s42/ckpt_60000.pt,bc_xattn,42,PickCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,1,1.0,8,300,1,False,100,0.7900,127.19
outputs/bcx_mt_val10_s42/ckpt_60000.pt,bc_xattn,42,PushCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,1,1.0,8,300,1,False,100,0.9200,90.21
outputs/bcx_mt_val10_s42/ckpt_60000.pt,bc_xattn,42,StackCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,1,1.0,8,300,1,False,100,0.5000,204.04
outputs/fm_mt_val10_s123/ckpt_60000.pt,fm,123,PickCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,10,1.0,8,300,1,False,100,0.1300,272.73
outputs/fm_mt_val10_s123/ckpt_60000.pt,fm,123,PushCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,10,1.0,8,300,1,False,100,0.9600,87.11
outputs/fm_mt_val10_s123/ckpt_60000.pt,fm,123,StackCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,10,1.0,8,300,1,False,100,0.0700,288.91
outputs/bcx_mt_val10_s123/ckpt_60000.pt,bc_xattn,123,PickCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,1,1.0,8,300,1,False,100,0.3500,224.79
outputs/bcx_mt_val10_s123/ckpt_60000.pt,bc_xattn,123,PushCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,1,1.0,8,300,1,False,100,0.9000,96.06
outputs/bcx_mt_val10_s123/ckpt_60000.pt,bc_xattn,123,StackCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,1,1.0,8,300,1,False,100,0.3400,235.95
