ckpt,model,seed,task,use_goal,goal_slot,task_goal,val_frac,steps,d_model,cfg_dropout,ot_coupling,global_cond,sources,n_steps,guidance,execute_horizon,max_steps,n_average,ema,n_episodes,success_rate,mean_length
outputs/fm_mt_val10_s42/ckpt_60000.pt,fm,42,PickCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,10,1.0,8,100,1,False,100,0.5800,83.01
outputs/fm_mt_val10_s42/ckpt_60000.pt,fm,42,PushCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,10,1.0,8,100,1,False,100,0.8400,73.64
outputs/fm_mt_val10_s42/ckpt_60000.pt,fm,42,StackCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,10,1.0,8,100,1,False,100,0.0700,98.98
outputs/fm_pick_val10_s42/ckpt_20000.pt,fm,42,PickCube-v1,False,False,True,0.1,20000,256,0,False,False,motionplanning,10,1.0,8,100,1,False,100,0.6600,80.67
outputs/ddpm_mt_val10_s42/ckpt_60000.pt,ddpm,42,PickCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,100,1.0,8,100,1,False,100,0.0600,97.09
outputs/ddpm_mt_val10_s42/ckpt_60000.pt,ddpm,42,PushCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,100,1.0,8,100,1,False,100,0.8600,69.78
outputs/ddpm_mt_val10_s42/ckpt_60000.pt,ddpm,42,StackCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,100,1.0,8,100,1,False,100,0.0000,100.00
outputs/ddpm_pick_val10_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,False,False,True,0.1,20000,256,0,False,False,motionplanning,100,1.0,8,100,1,False,100,0.1200,96.00
outputs/bcx_mt_val10_s42/ckpt_60000.pt,bc_xattn,42,PickCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,1,1.0,8,100,1,False,100,0.7000,78.82
outputs/bcx_mt_val10_s42/ckpt_60000.pt,bc_xattn,42,PushCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,1,1.0,8,100,1,False,100,0.8700,72.61
outputs/bcx_mt_val10_s42/ckpt_60000.pt,bc_xattn,42,StackCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,1,1.0,8,100,1,False,100,0.2200,97.40
