model,n_steps,execute_horizon,latency_ms,max_control_hz,success_rate
ddpm,1,8,4.25,1883.2,0.02
ddpm,2,8,5.0,1600.9,0.02
ddpm,4,8,7.73,1034.6,0.02
ddpm,8,8,12.88,621.2,0.02
ddpm,10,1,15.44,64.7,0.02
ddpm,10,2,15.44,129.5,0.02
ddpm,10,4,15.44,259.0,0.02
ddpm,10,8,15.44,518.0,0.02
ddpm,10,16,15.44,1036.0,0.02
ddpm,16,8,23.32,343.0,0.02
ddpm,50,8,67.94,117.8,0.02
ddpm,100,8,133.63,59.9,0.04
ddpm,100,16,133.63,119.7,0.02
fm,1,8,3.42,2339.8,0.67
fm,2,8,4.28,1869.3,0.74
fm,4,8,6.74,1186.8,0.72
fm,8,8,11.73,682.0,0.69
fm,10,1,14.25,70.2,0.29
fm,10,2,14.25,140.4,0.46
fm,10,4,14.25,280.7,0.49
fm,10,8,14.25,561.4,0.745
fm,10,16,14.25,1122.9,0.75
fm,16,8,21.45,373.0,0.75
