ckpt,model,seed,task,n_steps,guidance,ema,n_episodes,success_rate,mean_length
outputs/bc_PickCube_s42/ckpt_20000.pt,bc,42,PickCube-v1,10,1.0,True,100,0.0400,292.00
outputs/bc_PickCube_s42/ckpt_20000.pt,bc,42,PickCube-v1,10,1.0,False,100,0.0400,289.80
outputs/ddpm_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,100,1.0,True,100,0.0200,294.30
outputs/ddpm_PickCube_s42/ckpt_20000.pt,ddpm,42,PickCube-v1,100,1.0,False,100,0.0100,297.21
outputs/fm_PickCube_s123/ckpt_20000.pt,fm,123,PickCube-v1,10,1.0,True,100,0.0300,292.03
outputs/fm_PickCube_s123/ckpt_20000.pt,fm,123,PickCube-v1,10,1.0,False,100,0.0600,286.06
outputs/fm_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,10,1.0,True,100,0.0500,288.95
outputs/fm_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,10,1.0,False,100,0.0600,284.98
outputs/fm_PickCube+StackCube+PegInsertionSide_s42/ckpt_20000.pt,fm,42,PickCube-v1,10,1.0,True,100,0.0300,292.75
outputs/fm_PickCube+StackCube+PegInsertionSide_s42/ckpt_20000.pt,fm,42,StackCube-v1,10,1.0,True,100,0.0300,296.71
outputs/fm_PickCube+StackCube+PegInsertionSide_s42/ckpt_20000.pt,fm,42,PegInsertionSide-v1,10,1.0,True,100,0.0000,300.00
outputs/fm_PickCube+StackCube+PegInsertionSide_s42/ckpt_20000.pt,fm,42,PickCube-v1,10,1.0,False,100,0.0300,292.33
outputs/fm_PickCube+StackCube+PegInsertionSide_s42/ckpt_20000.pt,fm,42,StackCube-v1,10,1.0,False,100,0.0300,295.51
outputs/fm_PickCube+StackCube+PegInsertionSide_s42/ckpt_20000.pt,fm,42,PegInsertionSide-v1,10,1.0,False,100,0.0000,300.00
outputs/fm_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,1,1.0,True,100,0.0900,281.46
outputs/fm_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,2,1.0,True,100,0.0300,292.90
outputs/fm_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,5,1.0,True,100,0.0500,287.95
outputs/fm_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,10,1.0,True,100,0.0400,290.62
outputs/fm_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,20,1.0,True,100,0.0300,291.80
outputs/fm_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,10,1.0,True,100,0.0700,284.63
outputs/fm_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,10,1.5,True,100,0.0400,290.00
outputs/fm_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,10,2.0,True,100,0.0300,291.50
outputs/fmgoal_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,10,1.0,True,100,0.0200,294.16
outputs/fmgoal_PickCube_s42/ckpt_20000.pt,fm,42,PickCube-v1,10,1.0,False,100,0.7500,136.74
outputs/fm_StackCube_single_s42/ckpt_20000.pt,fm,42,StackCube-v1,10,1.0,True,100,0.0000,300.00
outputs/fm_StackCube_single_s42/ckpt_20000.pt,fm,42,StackCube-v1,10,1.0,False,100,0.1800,266.67
outputs/fm_PegInsertionSide_single_s42/ckpt_20000.pt,fm,42,PegInsertionSide-v1,10,1.0,True,100,0.0000,300.00
outputs/fm_PegInsertionSide_single_s42/ckpt_20000.pt,fm,42,PegInsertionSide-v1,10,1.0,False,100,0.0000,300.00
